"TRANSPORTEUR","REGION"
"dhl","Takayama"
"collisimo","Jingu"
"collisimo","Kalinkavichy"
"collisimo","Baishuiyang"
"dhl","Xiangrong"
"chonoposte","Stony Hill"
"collisimo","Macaíba"
"collisimo","Hägersten"
"dhl","Voloka"
"collisimo","Midoun"
"chonoposte","Florestópolis"
"chonoposte","Muraloka"
"collisimo","Zunilito"
"collisimo","Erdaobaihe"
"collisimo","Şaḩneh"
"chonoposte","Huayuan"
"collisimo","Fengcun"
"collisimo","Nieying"
"dhl","Ad Dasmah"
"collisimo","Guantang"
"chonoposte","Galaz"
"chonoposte","Lujiao"
"collisimo","Núi Sập"
"collisimo","Bolgar"
"collisimo","Parintins"
"collisimo","Cikijing"
"collisimo","Ciudad del Este"
"chonoposte","Ad Dann"
"dhl","La Caya"
"dhl","Honghe"
"chonoposte","Chigoré"
"collisimo","Säffle"
"chonoposte","Delicias"
"chonoposte","Kurlovo"
"collisimo","Lawa-an"
"chonoposte","Kronoby"
"collisimo","Skrzyszów"
"collisimo","München"
"chonoposte","Santol"
"dhl","Līgatne"
"dhl","Stockholm"
"chonoposte","Baizhang"
"collisimo","Simão Dias"
"chonoposte","Sobontoro"
"chonoposte","Smolenskaya"
"chonoposte","Anaráchi"
"collisimo","Tangjiakou"
"dhl","Toyohashi"
"chonoposte","Sangmélima"
"chonoposte","Dortmund"
"collisimo","Lage"
"chonoposte","Chesma"
"chonoposte","Chongru"
"collisimo","Darnah"
"dhl","Curahuasi"
"dhl","Všeruby"
"chonoposte","Salvacion"
"collisimo","A dos Cunhados"
"dhl","Bazi"
"dhl","Umeå"
"dhl","Waldbillig"
"chonoposte","Pumaqangtang"
"chonoposte","Tewulike"
"dhl","Khodzhi-Gasan"
"chonoposte","Oliveira"
"dhl","El Tabo"
"dhl","Lerum"
"dhl","Lena"
"dhl","Khodzha-Maston"
"dhl","Riit"
"collisimo","Igreja"
"collisimo","Majunying"
"dhl","Mranggen"
"dhl","20 de Noviembre"
"chonoposte","Agidel’"
"chonoposte","Dazu"
"collisimo","Repnoye"
"collisimo","Arivonimamo"
"dhl","Yantan"
"collisimo","Pudoc"
"chonoposte","Ke’erlun"
"collisimo","Sypniewo"
"dhl","Santo Domingo"
"chonoposte","Dapitan"
"chonoposte","Seixo de Manhoses"
"collisimo","Al Qardāḩah"
"chonoposte","Invercargill"
"chonoposte","Dapawan"
"chonoposte","Hartford"
"chonoposte","Iñapari"
"chonoposte","Gustavsberg"
"dhl","Vary"
"collisimo","Vallentuna"
"collisimo","Byumba"
"chonoposte","Borabue"
"dhl","Cineumbeuy"
"chonoposte","Ocoruro"
"collisimo","Daguma"
"collisimo","San Isidro"
"chonoposte","Marigot"
"collisimo","Mambago"
"dhl","Bucu Kidul"
"collisimo","Ujmisht"
"dhl","Tanggulangin"
"chonoposte","Quilmaná"
"collisimo","Béreldange"
"dhl","Warren"
"dhl","Horní Jelení"
"collisimo","Landerneau"
"chonoposte","Dongjiao"
"collisimo","Kragan"
"collisimo","Lacroix-Saint-Ouen"
"collisimo","Madamba"
"chonoposte","Sukaraja"
"dhl","Xiping"
"dhl","Santiago De Compostela"
"collisimo","Shijiang"
"dhl","Волочаевское"
"chonoposte","Almeirim"
"chonoposte","Mansa"
"chonoposte","Aemura"
"chonoposte","Satsumasendai"
"collisimo","Almelo"
"dhl","Lysá nad Labem"
"dhl","Anqing"
"collisimo","Kuala Lumpur"
"chonoposte","Mucllo"
"collisimo","Los Cedrales"
"collisimo","Nagrumbuan"
"collisimo","Cazin"
"chonoposte","Obudu"
"dhl","Villa Nueva"
"chonoposte","Xindong"
"dhl","San Miguel"
"dhl","Bagaces"
"dhl","Fussa"
"collisimo","Piraju"
"chonoposte","Kavadarci"
"collisimo","Vallentuna"
"collisimo","Horodyshche"
"dhl","Heiheba"
"dhl","Allada"
"collisimo","Kasserine"
"collisimo","Mella"
"collisimo","Fengchan"
"chonoposte","Sembungan Kidul"
"dhl","Vestmanna"
"collisimo","Chwaszczyno"
"dhl","Fafe"
"dhl","Jeong"
"chonoposte","Kaum"
"collisimo","Fukuechō"
"dhl","Adar"
"chonoposte","Liuhe"
"collisimo","Spitak"
"collisimo","Nueve de Julio"
"collisimo","Paris 14"
"collisimo","Palalang"
"dhl","Åby"
"chonoposte","Bulakan"
"chonoposte","Pingdingshan"
"dhl","Cầu Giát"
"chonoposte","Ust’-Uda"
"chonoposte","Kurumoch"
"collisimo","Ikšķile"
"dhl","Wucheng"
"chonoposte","Osiek"
"dhl","Indramayu"
"dhl","Pravda"
"collisimo","Zhougang"
"dhl","Rennes"
"dhl","La Unión"
"dhl","Andrijaševci"
"chonoposte","Luoshe"
"chonoposte","Dishnā"
"dhl","Caraga"
"chonoposte","Vylkove"
"chonoposte","Huai’an"
"chonoposte","Dacudao"
"collisimo","Sitovo"
"chonoposte","Arvika"
"collisimo","Dongqiao"
"collisimo","Brnaze"
"dhl","Rungis"
"chonoposte","Muarabadak"
"dhl","Hangwula"
"chonoposte","Jõgeva"
"collisimo","Al Jawādīyah"
"chonoposte","Xiangshun"
"chonoposte","Rudnyy"
"collisimo","Pa Tio"
"dhl","Działdowo"
"collisimo","Dimbokro"
"chonoposte","Guaranésia"
"dhl","Popayán"
"collisimo","Igreja"
"dhl","Jinji"
"dhl","Qingzhou"
"chonoposte","Jifnā"
"dhl","Llanera"
"collisimo","Araguari"
"collisimo","Manzë"
"dhl","Dongyuan"
"chonoposte","Shashemenē"
"dhl","Paico"
"chonoposte","Los Cedrales"
"chonoposte","Shuangshi"
"collisimo","Ankazoabo"
"chonoposte","Detchino"
"collisimo","Guanzhuang"
"dhl","Erie"
"chonoposte","Alavieska"
"dhl","Tabasalu"
"chonoposte","Kristiansand S"
"collisimo","Brumadinho"
"dhl","Dodu Dua"
"chonoposte","Mkiriwadjumoi"
"chonoposte","Las Garcitas"
"collisimo","Dordrecht"
"collisimo","Valašská Polanka"
"collisimo","Suwangi Utara"
"chonoposte","Sawo"
"dhl","Thompson"
"dhl","Changshan"
"dhl","Sudikampir"
"dhl","Changyŏn"
"chonoposte","Polo"
"chonoposte","Yuzhno-Sukhokumsk"
"collisimo","Pore"
"dhl","Dugu"
"collisimo","Podgórzyn"
"chonoposte","Lau"
"dhl","Wien"
"chonoposte","Santa María Chiquimula"
"dhl","Nanbin"
"dhl","Tānsen"
"chonoposte","Kuta"
"dhl","Katrineholm"
"chonoposte","Gading"
"collisimo","Manlucahoc"
"collisimo","Karakul’"
"collisimo","Horad Rechytsa"
"chonoposte","Burträsk"
"chonoposte","Mandaon"
"collisimo","Jatisari"
"dhl","Tuncheng"
"collisimo","Belén"
"dhl","Pawili"
"dhl","Markovo"
"collisimo","Phú Thái"
"dhl","Lazaro Cardenas"
"chonoposte","Chikeng"
"chonoposte","Ambanja"
"dhl","Tanout"
"dhl","Vishow"
"collisimo","Syanno"
"chonoposte","Karangdalam"
"dhl","Kuidou"
"dhl","Polepy"
"chonoposte","Guia"
"dhl","Motala"
"chonoposte","Jinling"
"collisimo","Slavyansk-na-Kubani"
"collisimo","Pickering"
"dhl","Rochester"
"collisimo","Pančevo"
"collisimo","Budapest"
"collisimo","Valongo"
"dhl","Carpina"
"collisimo","Kisai"
"dhl","Pār Naogaon"
"chonoposte","Ojrzeń"
"dhl","Melaka"
"chonoposte","Hospitalet De Llobregat, L'"
"chonoposte","Huishi"
"dhl","Japeri"
"collisimo","Santa Cruz"
"collisimo","Wakkanai"
"dhl","Ban Muang"
"collisimo","Nagahama"
"dhl","Saño"
"dhl","Rimbo"
"dhl","Gexi"
"dhl","Toluviejo"
"dhl","Jati"
"dhl","Honolulu"
"chonoposte","Kelaniya"
"dhl","Songshu"
"collisimo","Barurao"
"chonoposte","Las Ánimas"
"dhl","Yuewan"
"chonoposte","Soutelo"
"dhl","Jiucaizhuang"
"chonoposte","Zhonghuopu"
"dhl","Lyambir’"
"dhl","Mellila"
"chonoposte","Hetian"
"dhl","Ibusuki"
"chonoposte","Zhangguanying"
"collisimo","Buta Ranquil"
"dhl","Toulouse"
"collisimo","Puntaru"
"chonoposte","Young"
"dhl","Lonya Chico"
"chonoposte","Caqu"
"chonoposte","Kultayevo"
"chonoposte","Valença"
"collisimo","Sigou"
"collisimo","Luján de Cuyo"
"dhl","Piribebuy"
"chonoposte","Pataias"
"collisimo","Malway"
"chonoposte","Zaytā"
"dhl","Pingshi"
"dhl","Stockholm"
"chonoposte","Pointe-à-Pitre"
"collisimo","Kamaris"
"collisimo","Khadan Khāk"
"chonoposte","Tyler"
"chonoposte","Krivyanskaya"
"collisimo","Martensville"
"collisimo","Jawand"
"chonoposte","Rio de Janeiro"
"collisimo","Paraty"
"dhl","Tafraout"
"chonoposte","San Juan"
"collisimo","Biryulëvo Zapadnoye"
"collisimo","Xiaoguwei"
"collisimo","Dongtai"
"chonoposte","Lanling"
"collisimo","Jardim da Serra"
"chonoposte","San Andrés Xecul"
"chonoposte","Bilovods'k"
"collisimo","Alua"
"chonoposte","Ganyan"
"chonoposte","Podkamennaya Tunguska"
"chonoposte","Zili"
"dhl","Lajkovac"
"dhl","Huangqi"
"collisimo","Kyaikkami"
"dhl","Lukou"
"dhl","Irvine"
"collisimo","Gobernador Ingeniero Valentín Virasoro"
"chonoposte","Vodňany"
"collisimo","Fenghuang"
"collisimo","Jiujiang"
"dhl","Lidingö"
"collisimo","Buenos Aires"
"collisimo","Poços de Caldas"
"collisimo","Sanjiang"
"collisimo","Guancangping"
"dhl","Chambéry"
"chonoposte","H̱olon"
"dhl","Odivelas"
"chonoposte","Papágou"
"collisimo","Bualan"
"dhl","Skrunda"
"dhl","Villa Consuelo"
"dhl","Dianqian"
"collisimo","Dalupaon"
"chonoposte","Fu’an"
"collisimo","Marseille"
"dhl","Dafundo"
"chonoposte","Shubenka"
"chonoposte","Dadong’ao"
"dhl","Calancuasan Norte"
"dhl","Tamandaré"
"chonoposte","Rosario del Ingre"
"chonoposte","Cimişlia"
"dhl","Pulau Pinang"
"collisimo","Chok Chai"
"dhl","Pensacola"
"chonoposte","Tianzhou"
"chonoposte","Duotian"
"chonoposte","Sumberkenanga"
"collisimo","Boskovice"
"dhl","Gouping"
"collisimo","Changzhou"
"dhl","Jakubowice Murowane"
"collisimo","Municipio de Copacabana"
"collisimo","Agualva de Cima"
"dhl","San Casimiro"
"dhl","Igarapé Açu"
"dhl","Haparanda"
"dhl","Lukou"
"collisimo","Giv'on HaHadasha"
"collisimo","Mariental"
"dhl","Skien"
"dhl","Pandat"
"chonoposte","Wangmang"
"chonoposte","Omemee"
"chonoposte","Ayang-ni"
"collisimo","Criciúma"
"collisimo","Bakar"
"chonoposte","Tulungrejo"
"collisimo","Macau"
"chonoposte","Verona"
"dhl","Nanzhai"
"chonoposte","Anggana"
"chonoposte","Waterloo"
"chonoposte","Stará Ves nad Ondřejnicí"
"chonoposte","Paragominas"
"chonoposte","Bandar-e Ganāveh"
"collisimo","General Elizardo Aquino"
"chonoposte","Ust’-Kachka"
"collisimo","Nouna"
"collisimo","Zhong’an"
"dhl","Aţ Ţaybah"
"collisimo","Matou"
"chonoposte","Yangchao"
"chonoposte","Wilkowice"
"collisimo","Mirnyy"
"dhl","Pembuanghulu"
"dhl","’Unābah"
"collisimo","Karditsomagoúla"
"collisimo","Haihui"
"collisimo","Los Andes"
"dhl","Mojokerto"
"chonoposte","Shuikou"
"collisimo","Anguera"
"dhl","Grenoble"
"collisimo","Hekou"
"dhl","Mikró Monastíri"
"dhl","Tokmok"
"chonoposte","Moratuwa"
"dhl","Sucun"
"chonoposte","Cielądz"
"dhl","Sharga"
"dhl","Núi Đối"
"collisimo","Levallois-Perret"
"chonoposte","Barobo"
"dhl","Yuanlin"
"chonoposte","Washington"
"dhl","Poitiers"
"dhl","San Manuel Chaparrón"
"dhl","Kuching"
"collisimo","Shibukawa"
"collisimo","Burgas"
"dhl","Meipu"
"chonoposte","Xinzha"
"collisimo","Pueblo Nuevo"
"collisimo","San Carlos"
"dhl","Rosice"
"collisimo","Balta"
"dhl","Kalangala"
"dhl","Kolokani"
"dhl","Plyeshchanitsy"
"dhl","Yangce"
"chonoposte","Verkhnyaya Toyma"
"dhl","Junyang"
"chonoposte","Bulawayo"
"collisimo","Mtsensk"
"collisimo","Victoria"
"chonoposte","Cesson"
"chonoposte","Kyurdarmir"
"dhl","Pulosari"
"collisimo","San Pedro"
"dhl","Divnoye"
"chonoposte","Altamira"
"chonoposte","Puerto Rico"
"chonoposte","Dabagou"
"chonoposte","Menol"
"dhl","Tiniguiban"
"dhl","Tembladera"
"dhl","Kutampi"
"dhl","Jambeyan"
"collisimo","Sekongkang Bawah"
"collisimo","Nampicuan"
"chonoposte","Babice"
"chonoposte","Uji"
"chonoposte","Lazaro Cardenas"
"chonoposte","Chasŏng"
"chonoposte","Jengglungharjo"
"dhl","Guisijan"
"collisimo","Andalan"
"collisimo","Samara"
"collisimo","Pappadátes"
"collisimo","Huilong"
"dhl","Madīnat Ḩamad"
"dhl","Nol"
"collisimo","Trzebinia"
"chonoposte","Mardzad"
"dhl","Parnaíba"
"dhl","Nema"
"collisimo","Amashca"
"dhl","Cururupu"
"chonoposte","Muaratiga"
"chonoposte","Müllendorf"
"dhl","Asopós"
"dhl","Caleta Olivia"
"dhl","Tagdanua"
"chonoposte","Oepuah"
"dhl","Chigoré"
"collisimo","Xiaxi"
"chonoposte","Baqiao"
"collisimo","Taiping"
"dhl","San Francisco"
"collisimo","São José do Rio Pardo"
"collisimo","Kedawung"
"collisimo","Eirunepé"
"dhl","San Gregorio"
"chonoposte","Itsandra"
"dhl","Ilihan"
"dhl","Megulung"
"chonoposte","Rancapare"
"dhl","Subotica"
"collisimo","Kafir Qala"
"dhl","Yuqi"
"chonoposte","Maunuri"
"chonoposte","San Narciso"
"collisimo","Sovetskiy"
"chonoposte","Koźmin Wielkopolski"
"chonoposte","Izingolweni"
"dhl","Nicolas Bravo"
"collisimo","Gobō"
"collisimo","Huasahuasi"
"chonoposte","Chengbei"
"chonoposte","Jarabacoa"
"dhl","Suresnes"
"dhl","Bengtsfors"
"dhl","Hetai"
"dhl","New Brunswick"
"dhl","Pisão"
"collisimo","Llorente"
"dhl","Hexi"
"collisimo","Barrie"
"chonoposte","Masindi"
"dhl","Tais"
"chonoposte","Thị Xã Lai Châu"
"collisimo","Samburat"
"collisimo","Nagutskoye"
"dhl","Magdalena"
"collisimo","Toulouse"
"collisimo","Utrecht (stad)"
"collisimo","Muang Xay"
"chonoposte","Qiryat Motzkin"
"dhl","Tsuma"
"dhl","San Salvador de Jujuy"
"chonoposte","Gaoping"
"collisimo","Kanáli"
"collisimo","Wailang"
"dhl","Las Palmas"
"dhl","Jiaodai"
"dhl","Smokvica"
"dhl","Sambirobyong"
"collisimo","Pak Chong"
"chonoposte","Hengshi"
"collisimo","Thívai"
"collisimo","Odawara"
"dhl","Wangge’ertang"
"chonoposte","Valdivia"
"chonoposte","Rudy"
"collisimo","Montréal-Ouest"
"chonoposte","Lisui"
"chonoposte","La Guadalupe"
"collisimo","Kaducondong"
"collisimo","Klášterec nad Ohří"
"collisimo","Narathiwat"
"chonoposte","Banjarejo"
"chonoposte","Zelenogradsk"
"dhl","Carabamba"
"chonoposte","Kibara"
"dhl","Santander"
"collisimo","Strömsund"
"collisimo","La Libertad"
"collisimo","Ciepielów"
"chonoposte","Shuangchahe"
"dhl","Melati"
"dhl","Golopau"
"collisimo","Kertamukti"
"chonoposte","El Hamma"
"chonoposte","Malgobek"
"dhl","Köln"
"dhl","Shiren"
"collisimo","Al Burayqah"
"chonoposte","Luzhi"
"chonoposte","Ash Shajarah"
"chonoposte","Prokhladnyy"
"dhl","Pedro Juan Caballero"
"dhl","Thul"
"chonoposte","Puget-sur-Argens"
"chonoposte","Motala"
"chonoposte","Karawatu"
"chonoposte","Nieying"
"chonoposte","Laramate"
"collisimo","Disūq"
"chonoposte","Thanh Xuân"
"dhl","Wattegama"
"collisimo","Thap Than"
"dhl","Huibu"
"chonoposte","Poříčany"
"dhl","Skärholmen"
"collisimo","Rozhniv"
"collisimo","Kronshtadt"
"dhl","Imielin"
"chonoposte","Mertert"
"dhl","Baishi"
"chonoposte","Francisco Sarabia"
"collisimo","Huochezhan"
"collisimo","Olszówka"
"dhl","Chinju"
"dhl","Maodao"
"collisimo","Fukui-shi"
"collisimo","Rawa Mazowiecka"
"collisimo","Vitoria-Gasteiz"
"chonoposte","Lyozna"
"chonoposte","Saijō"
"dhl","Xiaochi"
"chonoposte","Nukuoro"
"dhl","Saboyá"
"collisimo","Mahābād"
"dhl","Berlin"
"dhl","Göteborg"
"collisimo","Kema"
"dhl","Santa"
"chonoposte","Korisós"
"dhl","Sarāb"
"collisimo","Beiwenquan"
"dhl","Kosaya Gora"
"chonoposte","Piskavica"
"collisimo","Ban Khlong Bang Sao Thong"
"collisimo","Kiangan"
"chonoposte","Pushkino"
"dhl","Sigeng"
"dhl","Nguru"
"chonoposte","Satsumasendai"
"dhl","Longtang"
"chonoposte","Sakchu-ŭp"
"collisimo","Union"
"dhl","Skarżysko-Kamienna"
"chonoposte","Guiwu"
"chonoposte","Diapaga"
"chonoposte","Guicheng"
"chonoposte","Huang’ao"
"dhl","Xiadong"
"chonoposte","Nueva Vida Sur"
"collisimo","Pogag"
"chonoposte","Jatiraya"
"chonoposte","Pembroke"
"dhl","Minuyan"
"dhl","Hongsi"
"collisimo","Varberg"
"collisimo","Tarogong"
"collisimo","Gamboula"
"chonoposte","Nankou"
"dhl","Palecenan"
"dhl","Sala"
"chonoposte","Guanshan"
"collisimo","Sośnie"
"dhl","Bačka Topola"
"dhl","Yeghvard"
"collisimo","Grazhdanka"
"dhl","Paritjunus"
"chonoposte","Dupi"
"chonoposte","Åmål"
"dhl","Huichang"
"collisimo","Longfengshan"
"chonoposte","Puubheto"
"chonoposte","Yancheng"
"chonoposte","Hujiaying"
"chonoposte","Kendal"
"chonoposte","Río Grande"
"collisimo","Fengtai"
"collisimo","Mucuri"
"chonoposte","Jāmpur"
"chonoposte","Monte de Fralães"
"dhl","Neiafu"
"dhl","Ekenäs"
"dhl","Ḩawallī"
"chonoposte","Bouctouche"
"chonoposte","Phonsavan"
