"NOMPROD","CATEGORIE","MARQUE","PRIX"
"High-Top Leather Boots","Clothing - Footwear","NASDAQ",78
"Bock Beer Mustard","Food - Condiments","NYSE",80
"Nail Polish Set","Beauty","NASDAQ",52
"DIY Organic Gardening Kit","Garden","NASDAQ",58
"LED Flashlight","Outdoor","NASDAQ",58
"Foot Massager Machine","Health","NASDAQ",25
"Beef Jerky","Food - Snacks","NYSE",38
"Pasta Maker Machine","Kitchen","NYSE",65
"Pasta Primavera","Food - Frozen Foods","NYSE",43
"Pocket Blanket","Outdoor","NASDAQ",84
"Trendy Bomber Jacket","Clothing - Outerwear","NYSE",19
"Berries Medley","Food - Produce","NASDAQ",88
"Adjustable Window Blind","Home","NYSE",21
"Whole Grain Hamburger Buns","Food - Bakery","NYSE",32
"Classic Baseball Cap","Clothing - Accessories","NASDAQ",47
"Portable Laptop Table","Office","NYSE",94
"Graphic Hoodie","Clothing - Outerwear","NASDAQ",43
"Almond Flour Cookies","Food - Bakery","NASDAQ",62
"Organic Apples","Food - Produce","NASDAQ",69
"Sparkling Blood Orange Soda","Food - Beverages","NYSE",83
"Instant Pot","Kitchen","NYSE",87
"Gardening Kneeler and Seat","Garden","NASDAQ",54
"Pesto Genovese","Food - Condiments","NASDAQ",33
"High-Quality Yoga Mat","Fitness","NYSE",33
"Golf Putting Green","Sports","NYSE",52
"Whipped Cream Cheese","Food - Dairy","NASDAQ",25
"Stainless Steel Cutlery Set","Kitchen","NYSE",18
"Spicy Roasted Nuts","Food - Snacks","NYSE",3
"Beard Grooming Kit","Grooming","NASDAQ",75
"Eco-Friendly Beeswax Wraps","Kitchen","NYSE",37
"Kale Salad with Lemon Dressing","Food - Salads","NASDAQ",99
"Infrared Thermometer","Health","NYSE",6
"LED Christmas Tree Lights","Home","NASDAQ",9
"Quinoa","Food - Grains","NYSE",89
"Graphic Tee","Clothing","NASDAQ",5
"Kid's Fruit Snacks","Food - Snacks","NYSE",21
"Pasta Sauce Mix","Food - Sauces","NASDAQ",9
"Beach Cover-Up","Clothing - Swimwear","NYSE",20
"Multi-Port USB Hub","Electronics","NYSE",70
"Organic Whole Wheat Flour","Food - Baking Goods","NASDAQ",31
"Wall-Mounted Bookshelf","Home","NASDAQ",49
"Black Bean Salsa","Food - Snacks","NASDAQ",10
"Handheld Garment Steamer","Home","NYSE",86
"Almond Flour Cookies","Food - Bakery","NASDAQ",42
"Electric Bike","Bicycles","NASDAQ",15
"Pet Carrier Backpack","Pets","NASDAQ",65
"Personalized Keychain","Accessories","NYSE",41
"Cauliflower Pizza Crust","Food - Frozen Foods","NYSE",18
"Ankle Boots","Clothing - Footwear","NASDAQ",79
"Balsamic Salad Dressing","Food - Deli","NYSE",89
"Eco-Friendly Disposable Plates","Kitchen","NASDAQ",2
"Pet Travel Bed","Pets","NYSE",77
"Tailored Dress Pants","Clothing - Bottoms","NASDAQ",99
"Pasta Salad Kit","Food - Prepared Foods","NASDAQ",29
"Multi-Purpose Plant Care Tool","Garden","NASDAQ",29
"Maple Bacon Jerky","Food - Meat","NASDAQ",91
"Oatmeal Raisin Cookies","Food - Baked Goods","NYSE",2
"Bock Beer Mustard","Food - Condiments","NASDAQ",14
"Portable Charcoal Grill","Outdoor","NASDAQ",60
"Taro Chips","Food - Snacks","NYSE",57
"Striped Long Sleeve Shirt","Clothing - Shirts","NYSE",16
"LED Table Lamp","Home","NYSE",6
"Sporty Slide Sandals","Clothing - Footwear","NASDAQ",2
"Chicken Sausage","Food - Meat","NASDAQ",82
"Mini Cordless Vacuum Cleaner","Home Appliances","NASDAQ",33
"Mixed Nuts","Food - Snacks","NASDAQ",16
"Pecan Nuts","Food - Snacks","NASDAQ",8
"Chocolate Dipped Fruit","Food - Snacks","NASDAQ",78
"Honey","Food - Condiments","NYSE",75
"Emergency Preparedness Kit","Safety","NYSE",65
"Instant Mashed Potatoes","Food - Sides","NYSE",78
"Asian Salad Mix","Food - Produce","NYSE",89
"Multi-Cooker","Kitchen","NYSE",14
"Reusable Food Storage Bags","Kitchen","NYSE",92
"Fleece Throw Blanket","Home","NYSE",94
"Cabbage Slaw Mix","Food - Vegetables","NASDAQ",82
"Handheld Vacuum","Home Appliances","NASDAQ",66
"Frozen Salmon Filets","Food - Seafood","NASDAQ",49
"Fleece Lined Leggings","Clothing","NYSE",2
"Herbal Tea Set","Food","NASDAQ",100
"Non-Stick Grill Mat","Outdoor","NYSE",21
"Thai Peanut Dressing","Food - Condiments","NASDAQ",39
"Fresh Strawberries","Food - Produce","NYSE",7
"Feta Cheese Crumbles","Food - Dairy","NYSE",78
"Chickpea Pancakes","Food - Frozen","NYSE",20
"Fitness Tracker","Fitness","NASDAQ",30
"Stylish Wide-Leg Trousers","Clothing - Bottoms","NASDAQ",35
"Safety Goggles","Safety","NYSE",29
"Gingerbread House Kit","Food - Baking","NASDAQ",38
"Frozen Broccoli","Food - Frozen","NASDAQ",73
"Portable Solar Camp Shower","Outdoor","NYSE",59
"Electric Bike","Bicycles","NASDAQ",95
"Herb Seasoned Couscous","Food - Grains","NYSE",86
"Basil Tomato Soup","Food - Canned Soups","NASDAQ",52
"Air Fryer","Kitchen","NYSE",6
"Linen Trousers","Clothing - Bottoms","NYSE",72
