"REGION","MOIS","NBRCOM"
"Sabang","3",2
"Guozhen","8",1
"Midoun","5",1
"Sunfang","4",1
"Hanghuadian","2",1
"Tayturka","2",1
"Kanoni","1",1
"Ifanes","12",1
"Simunul","5",1
"Madoi","8",1
"Macarse","5",1
"Khānaqāh","6",1
"Beixiang","1",1
"Beixiang","2",1
"Las Palmas","3",1
"Santa Cruz","1",1
"Paris 12","3",1
"Bayside","8",1
"Tandayag","9",1
"Somanda","3",1
"Nansan","12",1
"Kyankwanzi","2",1
"Los Mangos","9",1
"Sabnie","4",1
"Cauto Cristo","9",2
"Baise City","11",1
"Pyinmana","7",1
"Getengan","10",1
"Cabcaben","8",1
"Itaboraí","1",1
"Zel’va","10",1
"Nueva Ocotepeque","3",1
"San Antonio","1",1
"Terre Haute","9",1
"Pagaden","3",1
"Sobinka","12",1
"Chile Chico","1",1
"Washington","3",1
"Virginia","5",1
"Rionegro","7",1
"Cigintung","4",1
"Yangsan","8",1
"Longos","3",1
"Tsurusaki","7",1
"Troparëvo","3",1
"Rodionovo-Nesvetaiskoye","6",1
"Rodionovo-Nesvetaiskoye","10",1
"Leidschendam","2",1
"Santa Fe","4",1
"Luleå","9",1
"Silva Jardim","9",1
"Silva Jardim","8",1
"Cilaja","12",1
"Or Yehuda","11",1
"Bondoboghila","6",1
"Pajé","6",1
"Kelapa","6",1
"Mós","2",1
"Mós","1",1
"Campamento","3",1
"Campamento","5",1
"Huanggexi","7",1
"Nossa Senhora do Socorro","9",1
"Biała","6",1
"Vạn Giã","7",1
"Cuenca","12",1
"Xiangfeng","10",1
"Trieste","12",1
"Gamping Lor","11",1
"Brumado","3",1
"Ganding","7",1
"Metz","12",1
"Daojiang","6",1
"Wanrongjiang","10",1
"Kolbuszowa","10",1
"Lorengau","9",1
"Mineiros","4",1
"Xinjian","1",1
"Xinjian","5",1
"Duczki","2",1
"Temandangjero","2",1
"Poiares","8",1
"Jingyao","5",1
"Huyu","3",2
"Opochka","2",1
"Novo Aripuanã","4",1
"Novo Aripuanã","6",1
"Pitogo","4",1
"San Rafael","7",1
"Bezhta","2",1
"Quimbaya","2",1
"Carleton-sur-Mer","7",1
"Romanovo","2",1
"Binafun","3",1
"Altona","4",1
"Santa Iria de Azóia","11",1
"Novoukrayinka","8",1
"Krajan Timur Mlokorejo","5",1
"Podgortsy","6",1
"Bodzentyn","2",1
"Unidad","8",1
"Unidad","12",1
"Aihua","6",1
"Jingling","2",1
"Malbug","10",2
"Klerksdorp","7",1
"Ar Riqāb","7",1
"Metu","10",1
"Swedru","8",1
"Meziměstí","6",1
"Shepetivka","8",1
"Damatulan","10",1
"Damatulan","5",1
"Farīmān","3",1
"Hexi","8",2
"Hexi","11",1
"Koltushi","7",1
"Ángeles","3",1
"Sukhothai","8",1
"Kaniów","6",1
"Mqabba","2",1
"Cuito","9",1
"Santa Cruz del Quiché","10",1
"Xunzhai","5",1
"Rosignol","12",1
"Narol","4",1
"Xi’an","9",1
"Ifanes","6",1
"Tian’an","6",1
"Kalipare","1",1
"Hultsfred","2",1
"Dārān","1",1
"Ijūin","1",1
"Sukamaju","8",1
"Satsumasendai","10",1
"La Tola","11",1
"Dongming","7",1
"Mora","7",1
"Paris 12","7",1
"Paris 12","5",1
"Ścinawa","1",1
"Rekovac","8",1
"Nuku‘alofa","4",1
"Minanga Norte","7",1
"Minanga Norte","6",1
"Marelesu","8",1
"Sabnie","12",1
"Abū Qalqal","5",1
"Abū Qalqal","2",1
"Linëvo","9",1
"Linëvo","12",1
"Pysznica","3",1
"Namikupa","1",2
"Namikupa","12",1
"København","12",2
"Krzynowłoga Mała","6",1
"Ghurayd Gharamē","9",1
"Chengyang","1",1
"Nowosielce","9",1
"Sanming","3",1
"Barda","10",1
"Khōshī","5",1
"Aylmer","4",1
"Singida","12",2
"Tarvasjoki","12",1
"Leiden","11",1
"Leiden","8",1
"Ávato","5",1
"Maki","8",2
"Berlin","10",1
"Xinpu","7",1
"Guaçuí","8",1
"Kayan","9",1
"Rezovac","12",1
"Demerval Lobão","5",1
"Malasugui","2",1
"Hougang","12",1
"Jazovo","7",1
"Maras","2",1
"Gaoyu","10",1
"Limoeiro do Ajuru","1",1
"Pangian","12",1
"Fort Pierce","8",1
"Ribeiro","6",1
"Moss","6",1
"Girihieum","11",1
"Carvalhal","10",1
"Bazhu","10",2
"Longde Chengguanzhen","12",1
"Gamping Lor","4",1
"Examília","5",1
"Patarrá","1",1
"Paris 20","12",1
"Mineiros","1",1
"Ponyri Vtoryye","9",1
"Ponyri Vtoryye","1",1
"Porto Calvo","1",1
"Ābdānān","5",1
"Ādilpur","5",1
"Itsukaichi","12",1
"Sungailiat","7",2
"Cangzhou","11",2
"Pitogo","6",1
"Tukums","6",1
"Cáceres","8",1
"Bezhta","8",1
"Bezhta","9",1
"Salgueiro","2",1
"Sanyang","6",1
"Romanovo","5",1
"Tiền Hải","12",1
"Tiền Hải","4",1
"Meylan","10",1
"Zamboanguita","7",1
"Arroyo Seco","2",1
"São Paio de Seide","7",1
"Craigavon","6",1
"Fílla","10",2
"Santa Lucia","5",1
"Miedzichowo","3",1
"Pocokan Satu","4",2
"Kuczbork-Osada","9",1
"Meziměstí","5",1
"La Gloria","4",1
"Fraile Pintado","4",1
"Canguçu","1",1
"Wiskitki","5",1
"Koltushi","6",1
"Runaway Bay","8",1
"Fengcun","9",1
"Guozhen","2",1
"Putrajaya","2",1
"Tejar","6",1
"Vito","4",1
"Oro Verde","12",1
"Santa Cruz del Quiché","5",1
"Koch'ang","1",1
"Xunzhai","7",1
"Xunzhai","10",1
"Sitangkai","8",1
"Madrid","1",1
"Oxelösund","3",1
"Gwaram","12",1
"Beloha","12",1
"Kudinovo","7",1
"Arcos","7",1
"Tofol","3",2
"Dayr al Ghuşūn","9",1
"Camajuaní","9",2
"Rungkang","11",1
"Satsumasendai","5",2
"Prelog","8",1
"Las Palmas","5",1
"Novotitarovskaya","5",1
"Monkstown","7",1
"Uhniv","10",1
"Roberval","10",1
"Ścinawa","10",1
"Bogatynia","11",1
"Nuku‘alofa","2",1
"Postmasburg","3",1
"Los Mangos","8",1
"Los Mangos","2",1
