"CATEGORIE","REGION","TAUXRETOUR"
"Home","Huayuan",3
"Home","Huochezhan",3
"Home","Igreja",2
"Home","Jomsom",1
"Home","Kalinkavichy",2
"Home","Kamaris",8
"Home","Karakul’",2
"Home","Kyurdarmir",2
"Home","La Caya",2
"Home","Lacroix-Saint-Ouen",0
"Home","Lau",0
"Home","Lilio",61
"Home","Lubbock",10
"Home","Lukou",2
"Home","Melati",45
"Home","Monsanto",2
"Home","München",2
"Home","Nelson",0
"Home","Nueva Italia",1
"Home","Ocoruro",4
"Home","Orsk",7
"Home","Pandat",2
"Home","Papágou",4
"Home","Parnaíba",2
"Home","Piribebuy",61
"Home","Poços de Caldas",0
"Home","Qingzhou",1
"Home","Quezon",2
"Home","Repnoye",1
"Home","San Juan",6
"Home","Sanjiang",2
"Home","Susoh",2
"Home","Tais",2
"Home","Thompson",1
"Home","Utmānzai",3
"Home","Verona",45
"Home","Voloka",2
"Home","Wucheng",61
"Home","Yancheng",0
"Home","Yeghvard",2
"Home","Zili",7
"Home","Zunilito",2
"Home Appliances","Ash Shajarah",2
"Home Appliances","Badar",2
"Home Appliances","Bébédja",2
"Home Appliances","Beiyuan",17
"Home Appliances","Burujul",0
"Home Appliances","Dortmund",2
"Home Appliances","Langxi",2
"Home Appliances","San Casimiro",17
"Home Improvement","Baizhang",1
"Home Improvement","Barrie",1
"Home Improvement","Pumaqangtang",1
"Home Improvement","Tangjiakou",1
"Kitchen","Al Qardāḩah",2
"Kitchen","Baishi",0
"Kitchen","Banjarejo",0
"Kitchen","Belén",1
"Kitchen","Brnaze",1
"Kitchen","Bununu Dass",2
"Kitchen","Chikeng",1
"Kitchen","Disūq",0
"Kitchen","Doblas",2
"Kitchen","Duotian",1
"Kitchen","Fucheng",4
"Kitchen","General Alvear",8
"Kitchen","Guanzhuang",14
"Kitchen","Heiheba",1
"Kitchen","Hetai",2
"Kitchen","Ibusuki",7
"Kitchen","Izingolweni",6
"Kitchen","Jiaodai",3
"Kitchen","Jinji",2
"Kitchen","Kasserine",1
"Kitchen","Kolokani",9
"Kitchen","Kotel’va",4
"Kitchen","Kuching",3
"Kitchen","Kuta",3
"Kitchen","La Caya",1
"Kitchen","Lanat",2
"Kitchen","Lavandeira",3
"Kitchen","Los Cedrales",2
"Kitchen","Luzhi",0
"Kitchen","Madīnat Ḩamad",3
"Kitchen","Mambago",20
"Kitchen","Manlucahoc",0
"Kitchen","Mansa",0
"Kitchen","Mariental",28
"Kitchen","Maruoka",28
"Kitchen","Matou",53
"Kitchen","Mira",41
"Kitchen","Moratuwa",1
"Kitchen","Nieying",1
"Kitchen","Oliveira",5
"Kitchen","Pak Phanang",53
"Kitchen","Piskavica",7
"Kitchen","Poříčany",1
"Kitchen","Pointe-à-Pitre",1
"Kitchen","Pār Naogaon",1
"Kitchen","Quilmaná",41
"Kitchen","Riangbao",0
"Kitchen","Rolândia",14
"Kitchen","Sala",2
"Kitchen","San Miguel",4
"Kitchen","Sangmélima",24
"Kitchen","Satsumasendai",2
"Kitchen","Shuikou",3
"Kitchen","Soutelo",5
"Kitchen","Strömsund",1
"Kitchen","Tagdanua",3
"Kitchen","Takayama",2
"Kitchen","Tarogong",3
"Kitchen","Thívai",7
"Kitchen","Trzebinia",1
"Kitchen","Tuncheng",20
"Kitchen","Ḑubāh",9
"Kitchen","Ujazd",4
"Kitchen","Uji",2
"Kitchen","Ungca",8
"Kitchen","Vallentuna",1
"Kitchen","Vary",0
"Kitchen","Victoria West",4
"Kitchen","Yantan",8
"Kitchen","Yingde’er",1
"Kitchen","Zengjia",4
"Office","Cazin",4
"Office","Disūq",1
"Office","Guisijan",37
"Office","Klang",37
"Office","Tulungrejo",2
"Outdoor","Aţ Ţaybah",3
"Outdoor","Aemura",2
"Outdoor","Amiens",1
"Outdoor","Andalan",4
"Outdoor","Araguari",2
"Outdoor","Burgas",9
"Outdoor","Cesson",1
"Outdoor","Chinju",2
"Outdoor","Cielądz",2
"Outdoor","Ciepielów",5
"Outdoor","Darnah",11
"Outdoor","Dawang",1
"Outdoor","Divnoye",1
"Outdoor","Dnestrovsc",28
"Outdoor","Eisen",1
"Outdoor","Foz do Arelho",2
"Outdoor","Fukui-shi",1
"Outdoor","Guojiazhuang",2
"Outdoor","Henggang",28
"Outdoor","Huajlaya",25
"Outdoor","Huasahuasi",6
"Outdoor","Huayuan",28
"Outdoor","Hujiaying",2
"Outdoor","Jardim da Serra",1
"Outdoor","Kyurdarmir",1
"Outdoor","Laurel",3
"Outdoor","Llanera",1
"Outdoor","Ludwigshafen am Rhein",4
"Outdoor","Nagrumbuan",3
"Outdoor","Nguru",1
"Outdoor","Nueva Italia",19
"Outdoor","Owando",4
"Outdoor","Pančevo",5
"Outdoor","Porosozero",6
"Outdoor","Puget-sur-Argens",5
"Outdoor","Repnoye",1
"Outdoor","Saboyá",4
"Outdoor","Santander",2
"Outdoor","Sawo",2
"Outdoor","Subotica",2
"Outdoor","Suwangi Utara",3
"Outdoor","Tanout",0
"Outdoor","Tanuma",5
"Outdoor","Tegalsari",2
"Outdoor","Umeå",6
"Outdoor","Zunilito",1
"Pets","Alavieska",1
"Pets","Amashca",24
"Pets","Buenavista",1
"Pets","Chwaszczyno",1
"Pets","Dishnā",1
"Pets","Eirunepé",2
"Pets","Gaotan",10
"Pets","Hengshan",24
"Pets","Landerneau",1
"Pets","Las Ánimas",7
"Pets","Lena",0
"Pets","Ōnojō",24
"Pets","Paniqui",2
"Pets","Poços de Caldas",3
"Pets","Puubheto",0
"Pets","Rawa Mazowiecka",7
"Pets","Sambirobyong",7
"Pets","Smokvica",7
"Pets","Sovetskiy",7
"Pets","Stockholm",10
"Pets","Taiping",3
"Pets","Varberg",2
"Pets","Vera Cruz",2
"Pets","Zaki Biam",1
"Pets","Zhishan",0
"Photography","Aemura",2
"Photography","Grenoble",3
"Photography","Horní Jelení",1
"Photography","Santander",2
"Photography","Tamandaré",1
"Safety","Petushki",0
"Safety","Salvacion",0
"Safety","Seattle",0
"Safety","Vitoria-Gasteiz",2
"Smart Home","Kibara",2
"Smart Home","Subotica",1
"Sports","Blantyre",2
"Sports","Florestópolis",1
"Sports","Thívai",3
"Sports","Uji",2
"Toys","Al Jawādīyah",0
"Toys","Budapest",3
"Toys","Croix",2
"Toys","Jabłonica Polska",3
"Toys","Rozhniv",1
"Toys","Rudy",1
"Toys","Thanh Xuân",22
"Toys","Trzebinia",1
"Toys","Xiniu",4
"Travel","Al Qardāḩah",2
"Travel","Beiwenquan",0
"Travel","Berlin",14
"Travel","Camplong",4
"Travel","Dupi",4
"Travel","El Tabo",2
"Travel","Enriquillo",1
"Travel","Honghe",4
"Travel","Horodyshche",0
"Travel","Huang’ao",2
"Travel","Jinji",2
"Travel","Khadan Khāk",4
"Travel","Martensville",4
"Travel","Riit",2
"Travel","Takayama",2
"Travel","Tijão",6
"Travel","Xiping",1
"Accessories","Heiheba",1
"Accessories","Mirnyy",1
"Accessories","Payao",1
"Accessories","San Juan",5
"Accessories","Strömsund",1
"Accessories","Xiaozhen",2
"Accessories","Young",1
"Accessories","20 de Noviembre",6
"Apps","Kieta",2
"Art Supplies","Chambéry",0
"Art Supplies","Zhangguanying",0
"Audio","Buenavista",1
"Audio","Głogów Małopolski",7
"Audio","Hengxizhen",1
"Audio","Jakubowice Murowane",0
"Audio","Kachug",7
"Audio","Levallois-Perret",4
"Audio","Moratuwa",6
"Audio","Prokhladnyy",1
"Audio","Rixi",4
"Audio","Vallentuna",2
"Automotive","Baishuiyang",5
"Automotive","Banyumas",31
"Automotive","Budzów",7
